SECCIÓ CENSAL,total,homes,dones,Totals > 60 anys,> 60 anys Homes,> 60 anys Dones,> 60 anys_perc total,> 60 anys_perc_Homes,> 60 anys_perc_Dones
801910042,2837,1338,1499,514,202,312,"18,1","15,1","20,8"
801910043,2197,1116,1081,299,122,177,"13,6","10,9","16,4"
801910044,1569,745,824,515,218,297,"32,8","29,3",36
801910045,1279,608,671,369,147,222,"28,9","24,2","33,1"
801910046,1212,582,630,441,190,251,"36,4","32,6","39,8"
801910047,1818,866,952,564,250,314,31,"28,9",33
801910048,1689,834,855,409,173,236,"24,2","20,7","27,6"
801910049,1269,622,647,417,195,222,"32,9","31,4","34,3"
801910050,1591,744,847,496,210,286,"31,2","28,2","33,8"
801910051,1585,750,835,394,166,228,"24,9","22,1","27,3"
801910052,2408,1203,1205,389,210,179,"16,2","17,5","14,9"
801910053,1715,847,868,443,216,227,"25,8","25,5","26,2"
801910054,975,463,512,204,87,117,"20,9","18,8","22,9"
801910055,2578,1269,1309,649,332,317,"25,2","26,2","24,2"
801910056,1911,929,982,293,123,170,"15,3","13,2","17,3"
801910057,1396,687,709,301,123,178,"21,6","17,9","25,1"
801910058,1153,569,584,245,93,152,"21,2","16,3",26
801910059,1687,788,899,366,147,219,"21,7","18,7","24,4"
801910060,1634,807,827,260,111,149,"15,9","13,8",18
801910061,1781,851,930,528,227,301,"29,6","26,7","32,4"
801910062,1506,721,785,357,150,207,"23,7","20,8","26,4"
801910063,1214,582,632,386,166,220,"31,8","28,5","34,8"
801910064,1699,824,875,364,151,213,"21,4","18,3","24,3"
801910065,1605,779,826,365,156,209,"22,7",20,"25,3"
801910066,2111,1043,1068,420,182,238,"19,9","17,4","22,3"
801910067,1924,930,994,230,91,139,12,"9,8",14
801910068,1603,787,816,240,106,134,15,"13,5","16,4"
801910069,2540,1215,1325,443,164,279,"17,4","13,5","21,1"
801910070,1659,768,891,358,151,207,"21,6","19,7","23,2"
801910071,1784,876,908,421,182,239,"23,6","20,8","26,3"
801910072,2011,988,1023,411,177,234,"20,4","17,9","22,9"
801910073,1476,704,772,482,204,278,"32,7",29,36
801910074,1687,798,889,386,159,227,"22,9","19,9","25,5"
801910075,1480,721,759,389,182,207,"26,3","25,2","27,3"
801910076,2215,1080,1135,156,62,94,7,"5,7","8,3"
