SECCIÓ CENSAL,total,homes,dones,Totals > 60 anys,> 60 anys Homes,> 60 anys Dones,> 60 anys_perc total,> 60 anys_perc_Homes,> 60 anys_perc_Dones
801910128,1577,732,845,579,256,323,"36,7",35,"38,2"
801910129,1180,586,594,379,179,200,"32,1","30,5","33,7"
801910130,1218,568,650,403,169,234,"33,1","29,8",36
801910131,1165,544,621,418,185,233,"35,9",34,"37,5"
801910132,1268,591,677,423,180,243,"33,4","30,5","35,9"
801910133,1665,770,895,623,267,356,"37,4","34,7","39,8"
801910134,1534,681,853,559,212,347,"36,4","31,1","40,7"
801910135,1271,601,670,411,181,230,"32,3","30,1","34,3"
801910136,1320,620,700,539,235,304,"40,8","37,9","43,4"
801910137,1566,763,803,510,223,287,"32,6","29,2","35,7"
801910138,1601,766,835,378,154,224,"23,6","20,1","26,8"
801910139,1661,809,852,493,212,281,"29,7","26,2",33
801910140,1641,809,832,456,193,263,"27,8","23,9","31,6"
801910141,1113,533,580,351,137,214,"31,5","25,7","36,9"
801910142,1639,775,864,438,165,273,"26,7","21,3","31,6"
801910143,1772,847,925,513,200,313,29,"23,6","33,8"
801910234,1842,848,994,614,268,346,"33,3","31,6","34,8"
801910235,1345,631,714,456,197,259,"33,9","31,2","36,3"
801910236,1664,790,874,666,284,382,40,"35,9","43,7"
801910237,852,391,461,271,101,170,"31,8","25,8","36,9"
