municipi,districte,seccio,mundissec11,codsecINE 10
80155,9,20,08015509020,0801509020
80155,9,21,08015509021,0801509021
80155,9,22,08015509022,0801509022
80155,9,23,08015509023,0801509023
80155,9,24,08015509024,0801509024
80155,9,25,08015509025,0801509025
80155,9,26,08015509026,0801509026
80155,9,27,08015509027,0801509027
80155,9,28,08015509028,0801509028
80155,9,30,08015509030,0801509030
80155,9,31,08015509031,0801509031
80155,9,32,08015509032,0801509032
80155,9,33,08015509033,0801509033
80155,9,34,08015509034,0801509034
80155,9,35,08015509035,0801509035
80155,9,36,08015509036,0801509036
80155,9,37,08015509037,0801509037
80155,9,38,08015509038,0801509038
80155,9,42,08015509042,0801509042
80155,9,43,08015509043,0801509043
80155,9,44,08015509044,0801509044
80155,9,45,08015509045,0801509045
80155,9,47,08015509047,0801509047
80155,9,49,08015509049,0801509049
80155,9,50,08015509050,0801509050
80155,9,52,08015509052,0801509052
80155,9,53,08015509053,0801509053
80155,9,54,08015509054,0801509054
80155,9,57,08015509057,0801509057
80155,9,58,08015509058,0801509058
80155,9,59,08015509059,0801509059
80168,1,1,08016801001,0801601001
80174,1,1,08017401001,0801701001
80174,1,2,08017401002,0801701002
80180,1,1,08018001001,0801801001
80180,1,2,08018001002,0801801002
80180,1,3,08018001003,0801801003
80193,1,1,08019301001,0801901001
80193,1,2,08019301002,0801901002
80193,1,3,08019301003,0801901003
80193,1,4,08019301004,0801901004
80193,1,5,08019301005,0801901005
80193,1,6,08019301006,0801901006
80193,1,7,08019301007,0801901007
80193,1,8,08019301008,0801901008
80193,1,9,08019301009,0801901009
80193,1,10,08019301010,0801901010
80193,1,11,08019301011,0801901011
80193,1,12,08019301012,0801901012
80193,1,13,08019301013,0801901013
80193,1,14,08019301014,0801901014
80193,1,15,08019301015,0801901015
80193,1,16,08019301016,0801901016
80193,1,17,08019301017,0801901017
80193,1,18,08019301018,0801901018
80193,1,19,08019301019,0801901019
80193,1,20,08019301020,0801901020
80193,1,21,08019301021,0801901021
80193,1,22,08019301022,0801901022
80193,1,23,08019301023,0801901023
80193,1,25,08019301025,0801901025
80193,1,26,08019301026,0801901026
80193,1,27,08019301027,0801901027
80193,1,28,08019301028,0801901028
80193,1,29,08019301029,0801901029
80193,1,30,08019301030,0801901030
80193,1,31,08019301031,0801901031
80193,1,32,08019301032,0801901032
80193,1,33,08019301033,0801901033
80193,1,34,08019301034,0801901034
80193,1,35,08019301035,0801901035
80193,1,36,08019301036,0801901036
80193,1,37,08019301037,0801901037
80193,1,38,08019301038,0801901038
80193,1,39,08019301039,0801901039
80193,1,40,08019301040,0801901040
80193,1,41,08019301041,0801901041
80193,1,42,08019301042,0801901042
80193,1,43,08019301043,0801901043
80193,1,44,08019301044,0801901044
